"ID" "Mark level" "Age class" "Gender" "TOT" "Data" "Observed"
"UNIRM_085" "WM" "A" "F" 1 2017-10-12 0
"UNIRM_086" "PM" "A" "U" 21 2017-10-12 0
"UNIRM_087" "PM" "A" "U" 1 2017-10-12 0
"UNIRM_088" "WM" "A" "F" 1 2017-10-12 0
"UNIRM_089" "WM" "A" "F" 1 2017-10-12 0
"UNIRM_090" "PM" "A" "U" 2 2017-10-12 0
"UNIRM_091" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_092=175" "PM" "A" "F" 18 2017-10-12 0
"UNIRM_093" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_094" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_095" "WM" "A" "F" 2 2017-10-12 0
"UNIRM_096" "WM" "A" "F" 2 2017-10-12 0
"UNIRM_097" "WM" "A" "F" 1 2017-10-12 0
"UNIRM_098" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_099" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_100" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_101" "LM" "A" "U" 1 2017-10-12 0
"UNIRM_102" "WM" "A" "U" 1 2017-10-12 0
"UNIRM_103" "WM" "A" "U" 1 2017-10-12 0
